steamId,name,genres,release_date,languages
1010600,"The Princess, the Stray Cat, and Matters of the Heart","['Adventure', 'Casual']",06-17-2019,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']"
740550,Record of Agarest War Mariage,"['RPG', 'Strategy']",01-31-2019,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']"
909820,Songbird Symphony,"['Adventure', 'Indie']",07-25-2019,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese']"
628140,NOBUNAGA’S AMBITION: Tenkasousei with Power Up Kit / 信長の野望・天下創世 with パワーアップキット,['Strategy'],01-16-2018,"['English', 'Japanese']"
367550,Rugby League Team Manager 2015,"['Action', 'Casual', 'Simulation', 'Sports', 'Strategy']",06-19-2015,"['English', 'French']"
705870,Echo Grotto,"['Adventure', 'Casual', 'Indie']",09-20-2017,['English']
1010670,Dungeon Dreams,['RPG'],02-20-2019,['English']
1208260,Hentai Vs Furries,"['Action', 'Adventure', 'Casual', 'Indie']",01-10-2020,['English']
569630,Out of Ammo 2: Death Drive,"['Action', 'Indie', 'Strategy']",08-16-2017,['English']
831660,Monobeno-HAPPY END- Deluxe,['Adventure'],01-25-2019,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']"
816660,High Speed Trains,['Simulation'],03-27-2018,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Korean', 'Portuguese', 'Russian', 'Japanese']"
714800,Maitetsu,['Casual'],06-29-2018,"['English', 'Japanese']"
883020,Shadowlings,"['Action', 'Indie']",07-17-2018,"['English', 'Russian', 'Ukrainian', 'Polish', 'Japanese']"
824620,Jolly Battle,"['Casual', 'Indie', 'Strategy']",07-27-2018,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Korean', 'Russian', 'Japanese', 'Traditional Chinese', 'Portuguese', 'Italian', 'Polish', 'Romanian', 'Ukrainian', 'Portuguese - Brazil', 'Turkish']"
480900,Slap Village: Reality Slap,"['Adventure', 'Indie']",07-21-2016,"['English', 'Spanish - Spain', 'Italian', 'German', 'Russian']"
1021850,Blood Memery|血色记忆,"['Adventure', 'Indie', 'RPG']",02-14-2019,"['English', 'Simplified Chinese']"
607030,Jade's Journey 2,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",05-12-2017,['English']
445420,Aselia the Eternal -The Spirit of Eternity Sword-,"['Casual', 'RPG']",04-29-2016,"['English', 'Japanese']"
1216880,Risen Kingdom,"['Indie', 'Strategy']",02-28-2020,"['English', 'Russian']"
764560,Chocolate makes you happy 2,"['Casual', 'Indie']",12-18-2017,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']"
1106940,How to Raise a Wolf Girl,"['Casual', 'Indie', 'Simulation']",10-11-2019,"['English', 'Japanese', 'Traditional Chinese']"
916050,Clocker,"['Adventure', 'Indie', 'RPG']",02-14-2019,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Spain', 'Russian', 'Japanese', 'Portuguese', 'German']"
966680,Red Matter,"['Adventure', 'Indie']",11-10-2018,"['English', 'French', 'Spanish - Spain']"
572700,Nancy Drew: Sea of Darkness,['Adventure'],02-02-2017,['English']
971430,From Beyond Prologue,"['Adventure', 'Indie']",12-07-2018,['English']
1101180,EverStopped,"['Action', 'Casual', 'Indie']",09-27-2019,"['English', 'French']"
875110,InfiniPicross 2.0,"['Casual', 'Indie']",07-10-2018,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Spanish - Latin America', 'Vietnamese']"
742480,The Big Journey,"['Adventure', 'Casual', 'Indie']",04-20-2018,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Ukrainian']"
1146100,The Rising of the Shield Hero : Relive The Animation,"['Indie', 'RPG']",09-23-2019,"['English', 'Japanese']"
287960,Yomi,"['Indie', 'Strategy']",05-08-2015,"['English', 'French', 'German', 'Japanese']"
559640,Betrayal Collection,['RPG'],12-15-2016,['English']
1150890,The Bunker 69,"['Adventure', 'Indie']",11-01-2019,"['English', 'Russian']"
376490,The Great Gatsby: Secret Treasure,"['Adventure', 'Casual', 'Indie']",05-19-2017,['English']
572710,Nancy Drew: Labyrinth of Lies,['Adventure'],02-13-2017,['English']
456180,The American Dream,"['Action', 'Adventure', 'Indie']",03-14-2018,['English']
348910,Faerie Solitaire Harvest,"['Adventure', 'Casual']",04-22-2019,"['English', 'Russian']"
946010,Tasty Planet Forever,"['Action', 'Casual', 'Indie']",10-16-2018,['English']
1058380,Streamer Daily,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",03-04-2020,"['English', 'Turkish', 'Russian', 'Portuguese - Brazil']"
628120,NOBUNAGA’S AMBITION: Ranseiki with Power Up Kit / 信長の野望・嵐世記 with パワーアップキット,['Strategy'],10-17-2017,"['English', 'Japanese']"
394030,Trigonarium,"['Action', 'Indie']",08-31-2015,"['English', 'Finnish']"
723890,Don't Make Love,"['Casual', 'Indie', 'Simulation']",10-26-2017,['English']
794550,Grapple Force Rena,"['Action', 'Indie']",12-04-2018,['English']
503340,Dig 4 Destruction,"['Action', 'Casual', 'Massively Multiplayer']",08-14-2016,"['English', 'Japanese']"
1059430,PAGAN PEAK VR,['Adventure'],10-30-2019,"['English', 'German']"
867620,Hyper Train Corporation,"['Indie', 'Strategy']",06-18-2018,"['English', 'Russian', 'German', 'Simplified Chinese']"
354050,Starlight Tactics,"['Action', 'Indie', 'Strategy']",04-07-2015,['English']
579980,Lost Eden,"['Adventure', 'RPG', 'Strategy']",02-13-2017,"['English', 'Italian', 'Spanish - Spain']"
403090,Rescue Team 2,"['Casual', 'Simulation', 'Strategy']",09-23-2015,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Russian', 'Swedish']"
318950,Disney Tangled,"['Action', 'Adventure']",10-06-2014,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Polish', 'Russian']"
684700,Celestian Tales: Realms Beyond,"['Indie', 'RPG']",05-07-2020,['English']
434190,Follia - Dear father,"['Action', 'Adventure', 'Indie']",04-29-2020,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Turkish']"
620220,Catmaze,"['Action', 'Adventure', 'Indie', 'RPG']",05-24-2018,"['English', 'Russian', 'Simplified Chinese']"
626660,Flipping Death,"['Adventure', 'Indie']",08-06-2018,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']"
497510,Crystal Quest Classic,"['Action', 'Strategy']",11-23-2016,['English']
854250,FPV Freerider,['Simulation'],05-17-2018,['English']
498850,"Ortus Arena, strategy board game online, FOR FREE","['Casual', 'Indie', 'Strategy']",09-28-2016,['English']
317320,Nelly Cootalot: The Fowl Fleet,"['Adventure', 'Indie']",03-22-2016,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']"
1004770,Maiden and Spell,"['Action', 'Indie']",02-24-2020,"['English', 'Japanese', 'Simplified Chinese', 'Korean']"
839870,Wilmot's Warehouse,"['Adventure', 'Casual', 'Indie', 'Simulation']",08-29-2019,['English']
1027130,NEKO-NIN exHeart 2 Love +PLUS,['Casual'],04-26-2019,"['English', 'Japanese', 'Traditional Chinese']"
1152300,Atelier Ayesha: The Alchemist of Dusk DX,['RPG'],01-14-2020,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']"
654570,History2048 - 3D puzzle number game,"['Casual', 'Indie']",06-16-2017,['English']
1161190,Natsu no Iro no Nostalgia,"['Adventure', 'Casual']",12-06-2019,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']"
1261960,STRIKERS 1945,['Action'],04-30-2020,"['English', 'Japanese']"
778400,Corpse Party: Sweet Sachiko's Hysteric Birthday Bash,['Adventure'],04-10-2019,"['English', 'Japanese']"
955470,The Royal Game of Ur,['Casual'],11-30-2018,['English']
1157640,Sakura Fox Adventure,['Simulation'],10-25-2019,"['English', 'Simplified Chinese']"
1241020,Idle Warrior,"['Casual', 'Strategy']",02-21-2020,['English']
998220,The Dungeon of Lulu Farea,"['Indie', 'RPG']",01-07-2019,"['English', 'Simplified Chinese', 'Traditional Chinese']"
388140,Strategic Command Classic: WWI,"['Simulation', 'Strategy']",12-08-2017,['English']
1111370,A Summer's End - Hong Kong 1986,"['Casual', 'Indie']",04-23-2020,['English']
959000,Edna & Harvey: The Breakout - Anniversary Edition,"['Adventure', 'Indie']",12-04-2019,"['English', 'German', 'French', 'Russian', 'Simplified Chinese', 'Traditional Chinese']"
611860,Aborigenus,"['Action', 'Adventure', 'Indie']",10-17-2018,"['English', 'Russian', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Ukrainian', 'French', 'Portuguese - Brazil']"
940580,FIA European Truck Racing Championship,"['Racing', 'Simulation', 'Sports']",07-18-2019,"['English', 'French', 'Italian', 'German', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Spanish - Latin America', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Arabic']"
388430,TankZone Battle,"['Action', 'Indie']",09-21-2015,['English']
800200,Witching Tower VR,"['Action', 'Adventure', 'Indie']",10-25-2018,"['English', 'German', 'Simplified Chinese', 'Japanese', 'Russian', 'French']"
936180,Atelier Totori ~The Adventurer of Arland~ DX - トトリのアトリエ ～アーランドの錬金術士２～ DX,['RPG'],12-03-2018,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']"
535460,"A Fear Of Heights, And Other Things","['Casual', 'Indie', 'Simulation']",10-17-2016,['English']
881040,,"['Action', 'Casual', 'Indie']",01-14-2020,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Simplified Chinese', 'Turkish']"
1212190,deer hunter II,"['Action', 'Adventure', 'Indie']",01-17-2020,['English']
564160,Rosenkreuzstilette Freudenstachel,"['Action', 'Indie']",10-17-2017,"['English', 'Japanese']"
270610,Mage's Initiation: Reign of the Elements,"['Action', 'Adventure', 'Indie', 'RPG']",01-30-2019,['English']
447700,Crystal Crisis,"['Action', 'Casual']",07-31-2019,"['English', 'French', 'German', 'Japanese', 'Korean', 'Simplified Chinese']"
973060,Evil Maze 2 | 惡魔迷宮 2,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",03-08-2019,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']"
1019920,Gensokyo Defenders / 幻想郷ディフェンダーズ / 幻想鄉守護者,"['Action', 'Strategy']",04-24-2019,"['English', 'Traditional Chinese', 'Japanese']"
804290,Training aim,"['Casual', 'Indie', 'Simulation']",02-26-2018,"['English', 'Russian']"
800600,Wayhaven Chronicles: Book One,"['Adventure', 'Indie', 'RPG']",03-08-2018,['English']
446310,Sabres of Infinity,"['Adventure', 'Indie', 'RPG']",03-29-2016,['English']
1034940,Higurashi When They Cry Hou - Ch.7 Minagoroshi,['Adventure'],07-18-2019,"['English', 'Japanese']"
438260,Rewind,['Indie'],03-31-2016,['English']
919410,Felix The Reaper,"['Adventure', 'Indie']",10-17-2019,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Portuguese - Brazil', 'Japanese', 'Korean', 'Polish', 'Russian', 'Traditional Chinese', 'Turkish', 'Simplified Chinese', 'Danish']"
1045510,Call of Fries,"['Adventure', 'Casual', 'Indie', 'Simulation']",06-10-2019,['English']
1072590,Game Of Puzzles: Dragons,"['Casual', 'Indie', 'Strategy']",05-09-2019,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']"
564900,Space Hotel,['Indie'],01-04-2017,['English']
725330,Zelle,"['Adventure', 'Indie', 'RPG']",10-04-2019,"['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Turkish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']"
